reference_locus,gene,annotation,strand,gene_start,gene_end,operonmapper_id,product,operon_id,operon_size,operon_position,operon_role,operon_status,first_gene_in_operon,internal_polycistronic,operon_left,operon_right,operon_first_orf,operon_last_orf,operon_members_ordered,previous_orf,next_orf,orf_left,orf_right,mapping_method,mapping_overlap,mapping_review_flag
MIDG2331_RS09635,nanA,N-acetylneuraminate lyase,+,2048495,2049373,nanA,N-acetylneuraminate lyase,1035,6,4,internal,Internal gene in polycistronic operon,FALSE,TRUE,2046272,2051423,cds-WP_005609191.1,nagA,cds-WP_005609191.1;cds-WP_005599263.1;cds-WP_005599264.1;nanA;nagB;nagA,cds-WP_005599264.1,nagB,2048495,2049373,exact_coordinates,1,
MIDG2331_RS09755,rpmD,50S ribosomal protein L30,+,2062828,2063007,rpmD,50S ribosomal protein L30,1038,32,20,internal,Internal gene in polycistronic operon,FALSE,TRUE,2054186,2070174,rpsJ,rplS,rpsJ;rplC;rplD;rplW;rplB;rpsS;rplV;rpsC;rplP;rpmC;rpsQ;rplN;rplX;rplE;rpsN;rpsH;rplF;rplR;rpsE;rpmD;rplO;secY;rpmJ;rpsM;rpsK;rpsD;cds-WP_005619415.1;rplQ;rpsP;rimM;trmD;rplS,rpsE,rplO,2062828,2063007,exact_coordinates,1,
MIDG2331_RS10200,ilvC,ketol-acid reductoisomerase,-,2147059,2148540,ilvC,Ketol-acid reductoisomerase (NADP(+)),1079,1,1,single,Single-gene operon,TRUE,FALSE,2147059,2148540,ilvC,ilvC,ilvC,,,2147059,2148540,exact_coordinates,1,
MIDG2331_RS10235,dapD,2 3 4 5-tetrahydropyridine-2 6-dicarboxylate N-succinyltransferase,+,2154564,2155388,dapD,2345-tetrahydropyridine-26-dicarboxylate N-succinyltransferase,1084,3,1,first,First gene in polycistronic operon,TRUE,FALSE,2154564,2156698,dapD,cds-WP_005609325.1,dapD;aroQ;cds-WP_005609325.1,,aroQ,2154564,2155388,exact_coordinates,1,
MIDG2331_RS10295,dapE,succinyl-diaminopimelate desuccinylase,-,2164276,2165409,dapE,Succinyl-diaminopimelate desuccinylase,1091,4,2,internal,Internal gene in polycistronic operon,FALSE,TRUE,2162816,2165782,cds-WP_005619049.1,cds-WP_005602753.1,cds-WP_005619049.1;dapE;cds-WP_005605936.1;cds-WP_005602753.1,cds-WP_005619049.1,cds-WP_005605936.1,2164276,2165409,exact_coordinates,1,
MIDG2331_RS10465,dnaK,molecular chaperone DnaK,-,2200001,2201899,dnaK,Chaperone protein DnaK,1112,2,1,first,First gene in polycistronic operon,TRUE,FALSE,2198629,2201899,dnaK,dnaJ,dnaK;dnaJ,,dnaJ,2200001,2201899,exact_coordinates,1,
MIDG2331_RS10510,panF,sodium/pantothenate symporter,-,2212806,2214230,panF,Sodium/pantothenate symporter,1117,3,3,last,Last gene in polycistronic operon,FALSE,TRUE,2212806,2214833,metJ,panF,metJ;cds-WP_039197920.1;panF,cds-WP_039197920.1,,2212806,2214230,exact_coordinates,1,
MIDG2331_RS10685,proA,glutamate-5-semialdehyde dehydrogenase,-,2244507,2245745,proA,Gamma-glutamyl phosphate reductase,1133,3,1,first,First gene in polycistronic operon,TRUE,FALSE,2243228,2245745,proA,dtd,proA;cds-WP_026042279.1;dtd,,cds-WP_026042279.1,2244507,2245745,exact_coordinates,1,
MIDG2331_RS10890,fabG,3-oxoacyl-ACP reductase FabG,-,2280849,2281574,fabG,3-oxoacyl-[acyl-carrier-protein] reductase FabG,1158,2,2,last,Last gene in polycistronic operon,FALSE,TRUE,2280849,2282627,fabD,fabG,fabD;fabG,fabD,,2280849,2281574,exact_coordinates,1,
MIDG2331_RS10965,rimI,ribosomal protein S18-alanine N-acetyltransferase,+,2294238,2294675,rimI,Ribosomal-protein-alanine acetyltransferase,1168,3,2,internal,Internal gene in polycistronic operon,FALSE,TRUE,2293823,2296035,cds-WP_005606599.1,srmB,cds-WP_005606599.1;rimI;srmB,cds-WP_005606599.1,srmB,2294238,2294675,exact_coordinates,1,
MIDG2331_RS11025,hisG,ATP phosphoribosyltransferase,+,2308637,2309536,hisG,ATP phosphoribosyltransferase,1176,5,1,first,First gene in polycistronic operon,TRUE,FALSE,2308637,2313741,hisG,hisB,hisG;hisD;hisC_2;cds-MIDG2331_RS11040;hisB,,hisD,2308637,2309536,exact_coordinates,1,
MIDG2331_RS11030,hisD,histidinol dehydrogenase,+,2309652,2310938,hisD,Histidinol dehydrogenase,1176,5,2,internal,Internal gene in polycistronic operon,FALSE,TRUE,2308637,2313741,hisG,hisB,hisG;hisD;hisC_2;cds-MIDG2331_RS11040;hisB,hisG,hisC_2,2309652,2310938,exact_coordinates,1,
MIDG2331_RS11045,hisB,bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB,+,2312650,2313741,hisB,Histidine biosynthesis bifunctional protein HisB,1176,5,5,last,Last gene in polycistronic operon,FALSE,TRUE,2308637,2313741,hisG,hisB,hisG;hisD;hisC_2;cds-MIDG2331_RS11040;hisB,cds-MIDG2331_RS11040,,2312650,2313741,exact_coordinates,1,
MIDG2331_RS11065,hisA,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,+,2316342,2317094,hisA,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase,1179,4,2,internal,Internal gene in polycistronic operon,FALSE,TRUE,2315631,2318441,hisH,cds-WP_039709460.1,hisH;hisA;hisF;cds-WP_039709460.1,hisH,hisF,2316342,2317094,exact_coordinates,1,
