dataset,reference_locus,gene,annotation,strand,translation_start,n_motif_occurrences,minimum_mismatches,has_exact_motif,has_one_mismatch_motif,has_leq1_mismatch_motif,closest_motif_start_rel_CDS
background,MIDG2331_RS02570,thiE,thiamine phosphate synthase,+,573672,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02575,lepA,translation elongation factor 4,+,574290,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02580,lepB,signal peptidase I,+,576188,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02585,rnc,ribonuclease III,+,577244,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02590,era,GTPase Era,+,577985,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02595,recO,DNA repair protein RecO,+,578911,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02600,,Flp pilus assembly protein,-,581316,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02605,tadF,tight adherence pilus pseudopilin TadF,-,581936,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02610,,TadE/TadG family type IV pilus assembly protein,-,582393,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02615,,tetratricopeptide repeat protein,-,583148,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02620,,type II secretion system F family protein,-,583983,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02625,,type II secretion system F family protein,-,584870,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02630,,CpaF family protein,-,586147,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02635,,Flp operon protein D,-,587283,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02640,,Rough colony protein B,-,587949,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02645,,type II and III secretion system protein family protein,-,589334,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02650,,SAF domain-containing protein,-,590142,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02655,,A24 family peptidase,-,590597,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02660,,Flp family type IVb pilin,-,590838,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02665,,Flp family type IVb pilin,-,591124,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02670,rhlB,ATP-dependent RNA helicase RhlB,+,591722,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02675,,hypothetical protein,+,593060,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02680,,helicase HerA-like C-terminal domain-containing protein,+,593533,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02685,,ABC transporter substrate-binding protein,+,595217,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02690,,ABC transporter permease,+,596380,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02695,,TonB-dependent siderophore receptor,+,598619,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02705,,ABC transporter ATP-binding protein/permease,+,600901,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02710,rpsB,30S ribosomal protein S2,+,602768,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02715,tsf,translation elongation factor Ts,+,603580,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02720,,phosphoethanolamine transferase,-,606114,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02725,pyrH,UMP kinase,+,606226,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02730,frr,ribosome recycling factor,+,607123,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02735,pdxR,MocR-like pyridoxine biosynthesis transcription factor PdxR,-,609146,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02740,pdxS,pyridoxal 5'-phosphate synthase lyase subunit PdxS,+,609245,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02745,pdxT,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT,+,610132,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02750,tadA,tRNA adenosine(34) deaminase TadA,-,611305,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02755,,DEAD/DEAH box helicase,-,613247,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02760,nlpI,lipoprotein NlpI,-,614410,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02765,pnp,polyribonucleotide nucleotidyltransferase,-,616618,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02770,parC,DNA topoisomerase IV subunit A,+,616919,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02775,mukF,chromosome partition protein MukF,+,619305,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02780,mukE,chromosome partition protein MukE,+,620716,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02790,,sugar transporter,+,626017,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02795,,DUF3413 domain-containing protein,-,628983,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02800,,YejL family protein,-,629207,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02805,,TetR/AcrR family transcriptional regulator,+,629417,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02810,,efflux RND transporter periplasmic adaptor subunit,+,630028,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02815,,efflux RND transporter permease subunit,+,631246,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02820,glmU,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,+,634583,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02825,,CHY zinc finger protein,-,636371,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02830,,DUF1919 domain-containing protein,-,636995,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02835,,phospho-sugar mutase,+,637289,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02840,guaA,glutamine-hydrolyzing GMP synthase,-,640600,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02845,,hypothetical protein,-,640929,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02850,guaB,IMP dehydrogenase,-,642482,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02855,rlmE,23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE,+,642735,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02860,ftsH,ATP-dependent zinc metalloprotease FtsH,+,643465,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02865,,aromatic amino acid transport family protein,+,645625,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02870,,aromatic amino acid transport family protein,+,646936,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02875,glnD,bifunctional uridylyltransferase/uridylyl-removing protein GlnD,+,648260,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02880,,Z-ring associated ZapG family protein,-,651243,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02885,rplM,50S ribosomal protein L13,+,651548,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02895,yaaA,peroxide stress protein YaaA,+,652510,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02900,,hypothetical protein,+,653292,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02910,,Zn-ribbon-containing protein,+,654767,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02915,,L-cystine transporter,+,655636,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02920,,NAD(P)H-dependent oxidoreductase,-,657727,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02925,pheS,phenylalanine--tRNA ligase subunit alpha,+,658006,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02930,pheT,phenylalanine--tRNA ligase subunit beta,+,659090,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02935,,integration host factor subunit alpha,+,661495,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02940,,NlpC/P60 family protein,+,661851,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02955,bioD,dethiobiotin synthase,-,664773,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02960,,ROK family protein,-,666017,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02965,rnd,ribonuclease D,+,666196,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02980,ypfJ,KPN_02809 family neutral zinc metallopeptidase,+,670945,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02985,aroG,3-deoxy-7-phosphoheptulonate synthase AroG,+,671931,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02990,tsaB,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,+,673108,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS02995,,thymidine kinase,-,674822,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03000,zapB,cell division protein ZapB,-,675100,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03005,glpX,class II fructose-bisphosphatase,+,675285,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03010,,Nif3-like dinuclear metal center hexameric protein,-,677119,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03015,,MacB family efflux pump subunit,-,679132,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03020,cpxA,envelope stress sensor histidine kinase CpxA,-,680676,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03025,,response regulator,-,681469,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03030,mazG,nucleoside triphosphate pyrophosphohydrolase,-,682342,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03035,accD,"acetyl-CoA carboxylase, carboxyltransferase subunit beta",+,682681,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03040,folC,bifunctional tetrahydrofolate synthase/dihydrofolate synthase,+,683631,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03050,rimP,ribosome maturation factor RimP,+,685319,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03055,nusA,transcription termination factor NusA,+,685797,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03060,infB,translation initiation factor IF-2,+,687300,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03065,rbfA,30S ribosome-binding factor RbfA,+,689997,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03070,truB,tRNA pseudouridine(55) synthase TruB,+,690381,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03075,,lytic murein transglycosylase,+,691344,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03080,,YegP family protein,+,692561,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03085,,"IS256 family transposase, variant Zn-binding type",-,693444,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03090,pta,phosphate acetyltransferase,-,696089,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03095,,acetate kinase,-,697353,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03100,cpdB,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",+,697650,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03110,,hypothetical protein,+,700528,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03115,,DUF6953 family protein,-,701122,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03120,,YodC family protein,-,701327,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03125,,hypothetical protein,-,701885,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03130,,hypothetical protein,-,702067,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03135,,phage/plasmid replication domain-containing protein,+,702220,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03140,,DNA-binding protein,+,703411,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03145,,hypothetical protein,+,703741,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03150,,hypothetical protein,+,704069,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03155,,type II secretion system protein GspD,+,704345,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03160,,EexN family lipoprotein,+,705268,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03165,,hypothetical protein,+,705595,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03170,,hypothetical protein,+,706332,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03175,,DUF6953 family protein,-,706926,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03180,,YodC family protein,-,707131,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03185,,hypothetical protein,-,707689,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03190,,hypothetical protein,-,707871,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03195,,phage/plasmid replication domain-containing protein,+,708024,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03200,,DNA-binding protein,+,709215,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03205,,hypothetical protein,+,709545,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03210,,hypothetical protein,+,709873,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03215,,type II secretion system protein GspD,+,710149,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03220,,EexN family lipoprotein,+,711072,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03225,,hypothetical protein,+,711399,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03235,priC,primosomal replication protein PriC,+,713734,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03240,galU,UTP--glucose-1-phosphate uridylyltransferase GalU,-,715174,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03245,,phosphohexomutase domain-containing protein,-,716645,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03250,csrA,carbon storage regulator CsrA,-,716873,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03255,alaS,alanine--tRNA ligase,-,719576,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03260,,universal stress protein,-,720227,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03265,,FNR family transcription factor,+,720491,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03270,,ClpXP protease specificity-enhancing factor,-,721773,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03275,sspA,stringent starvation protein SspA,-,722417,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03280,purE,5-(carboxyamino)imidazole ribonucleotide mutase,+,722636,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03285,,asparaginase,+,723140,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03290,purK,5-(carboxyamino)imidazole ribonucleotide synthase,+,724216,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03305,,ATP-binding protein,-,729730,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03310,,type II toxin-antitoxin system VapC family toxin,-,730255,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03315,,antitoxin,-,730516,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03320,uvrB,excinuclease ABC subunit UvrB,-,732671,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03325,efeO,iron uptake system protein EfeO,+,732848,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03330,efeB,iron uptake transporter deferrochelatase/peroxidase subunit,+,733672,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03335,,hypothetical protein,+,734876,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03340,,PHP domain-containing protein,-,736354,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03345,,hypothetical protein,-,736948,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03350,sbcB,exodeoxyribonuclease I,-,738509,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03355,,chloride channel protein,-,740157,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03360,asnS,asparagine--tRNA ligase,+,740365,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03365,epmB,EF-P beta-lysylation protein EpmB,-,742871,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03370,,hypothetical protein,-,743524,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03375,efp,elongation factor P,+,743675,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03380,glnS,glutamine--tRNA ligase,+,744396,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03385,,DHA2 family efflux MFS transporter permease subunit,-,747687,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03390,,transglycosylase SLT domain-containing protein,-,749976,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03395,hpt,hypoxanthine phosphoribosyltransferase,-,750624,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03405,dapB,4-hydroxy-tetrahydrodipicolinate reductase,-,752787,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03410,,hypothetical protein,-,753424,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03415,,DUF4747 family protein,-,754338,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03420,rlmM,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,-,755448,1,1,FALSE,TRUE,TRUE,-186
background,MIDG2331_RS03425,,DUF423 domain-containing protein,-,756224,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03430,dld,D-lactate dehydrogenase,+,756328,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03435,torA,trimethylamine-N-oxide reductase TorA,-,760631,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03440,,NapC/NirT family cytochrome c,-,761945,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03445,moaA,"GTP 3',8-cyclase MoaA",+,762297,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03450,moaC,cyclic pyranopterin monophosphate synthase MoaC,+,763604,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03455,moaD,molybdopterin synthase sulfur carrier subunit,+,764102,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03460,moaE,molybdopterin synthase catalytic subunit MoaE,+,764348,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03465,ybeY,rRNA maturation RNase YbeY,+,764884,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03470,,GNAT family N-acetyltransferase,+,765375,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03475,topA,type I DNA topoisomerase,-,769849,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03480,,LysR family transcriptional regulator,+,769991,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03485,argA,amino-acid N-acetyltransferase,-,772292,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03490,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,-,773738,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03500,,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein,-,776314,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03510,,SNF2-related protein,-,780675,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03515,,DEAD/DEAH box helicase family protein,-,783989,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03520,,site-specific DNA-methyltransferase,-,787273,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03525,,MurR/RpiR family transcriptional regulator,-,788450,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03530,nanQ,N-acetylneuraminate anomerase,-,788927,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03535,ppx,exopolyphosphatase,-,790636,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03540,,DUF496 family protein,+,790845,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03545,lysC,lysine-sensitive aspartokinase 3,+,791675,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03550,nrdR,transcriptional regulator NrdR,-,793602,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03555,,YcgL domain-containing protein,-,793889,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03560,,replicative DNA helicase,-,795342,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03565,,siderophore ABC transporter substrate-binding protein,+,795522,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03570,,ABC transporter permease,+,796517,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03575,,iron chelate uptake ABC transporter family permease subunit,+,797464,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03580,,iron ABC transporter ATP-binding protein,+,798407,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03585,,TIGR00153 family protein,+,799354,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03590,,inorganic phosphate transporter,+,800044,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03595,,TIGR04211 family SH3 domain-containing protein,+,801371,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03600,,sulfurtransferase TusA family protein,-,802257,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03605,,hemerythrin domain-containing protein,-,802779,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03610,tgt,tRNA guanosine(34) transglycosylase Tgt,-,804000,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03615,,DUF1439 domain-containing protein,+,804323,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03620,cspD,cold shock domain-containing protein CspD,+,805003,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03625,can,carbonate dehydratase,+,805327,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03635,ilvN,acetolactate synthase small subunit,+,808078,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03640,pmbA,metalloprotease PmbA,-,810188,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03645,yjgA,ribosome biogenesis factor YjgA,+,810296,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03650,,SirB2 family protein,+,810871,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03655,,UbiX family flavin prenyltransferase,+,811302,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03660,,DUF554 domain-containing protein,+,811877,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03665,,PNPOx family protein,+,812637,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03670,yciH,stress response translation initiation inhibitor YciH,-,813470,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03675,pyrF,orotidine-5'-phosphate decarboxylase,-,814242,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03680,lapB,lipopolysaccharide assembly protein LapB,-,815463,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03685,,LapA family protein,-,815753,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03690,,integration host factor subunit beta,-,816103,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03695,rpsA,30S ribosomal protein S1,-,817841,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03700,cmk,(d)CMP kinase,-,818612,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03705,degS,outer membrane-stress sensor serine endopeptidase DegS,-,819673,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03715,secG,preprotein translocase subunit SecG,-,820248,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03720,,DNA topoisomerase III,-,822296,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03725,,alkaline phosphatase,+,822479,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03730,mepA,penicillin-insensitive murein endopeptidase,-,824804,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03740,mscK,mechanosensitive channel MscK,-,829311,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03745,mscK,mechanosensitive channel MscK,-,832673,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03750,menE,o-succinylbenzoate--CoA ligase,-,834084,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03755,seqA,replication initiation negative regulator SeqA,-,834662,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03760,,alpha/beta fold hydrolase,+,834786,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03765,cmoA,carboxy-S-adenosyl-L-methionine synthase CmoA,+,835579,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03770,,enoyl-ACP reductase FabI,+,836508,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03775,,BrnT family toxin,+,837491,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03780,,BrnA antitoxin family protein,+,837744,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03785,,exoribonuclease II,+,838154,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03790,,CidA/LrgA family protein,+,840205,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03795,,LrgB family protein,+,840573,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03800,apaH,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH,+,841284,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03815,,class I SAM-dependent methyltransferase,+,842695,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03820,,AI-2E family transporter,+,843509,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03825,,gluconeogenesis factor YvcK family protein,+,844600,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03830,queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,+,845577,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03835,,DNA internalization-related competence protein ComEC/Rec2,-,848991,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03845,,diacylglycerol kinase,+,850554,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03850,ushA,bifunctional UDP-sugar hydrolase/5'-nucleotidase UshA,+,850997,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03855,,DUF4298 domain-containing protein,+,852719,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03860,,hypothetical protein,+,853145,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03875,lpdA,dihydrolipoyl dehydrogenase,-,855649,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03880,aceF,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,-,857643,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03885,aceE,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type",-,860357,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03890,pyrD,quinone-dependent dihydroorotate dehydrogenase,-,861719,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03895,,ribose-phosphate pyrophosphokinase,-,862743,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03900,ispE,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,-,863612,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03905,lolB,lipoprotein insertase outer membrane protein LolB,-,864254,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03910,msbA,lipid A ABC transporter ATP-binding protein/permease MsbA,-,866131,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03915,,CidB/LrgB family autolysis modulator,-,866922,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03920,,CidA/LrgA family protein,-,867291,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03925,,ATP-dependent DNA helicase,-,869280,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03930,,hypothetical protein,+,869402,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03935,uvrA,excinuclease ABC subunit UvrA,-,872581,0,,FALSE,FALSE,FALSE,
background,MIDG2331_RS03940,,single-stranded DNA-binding protein,+,872732,0,,FALSE,FALSE,FALSE,
