reference_locus,gene,annotation
MIDG2331_RS02290,,YadA-like family protein
MIDG2331_RS02295,,LutC/YkgG family protein
MIDG2331_RS02300,,LutB/LldF family L-lactate oxidation iron-sulfur protein
MIDG2331_RS02305,,(Fe-S)-binding protein
MIDG2331_RS02310,,L-lactate permease
MIDG2331_RS02315,,H-NS family histone-like protein
MIDG2331_RS02320,,Na+/H+ antiporter NhaC family protein
MIDG2331_RS02325,,substrate-binding domain-containing protein
MIDG2331_RS02330,sucD,succinate--CoA ligase subunit alpha
MIDG2331_RS02335,sucC,ADP-forming succinate--CoA ligase subunit beta
MIDG2331_RS02340,,VirK/YbjX family protein
MIDG2331_RS02345,odhB,2-oxoglutarate dehydrogenase complex dihydrolipoyllysine-residue succinyltransferase
MIDG2331_RS02350,sucA,2-oxoglutarate dehydrogenase E1 component
MIDG2331_RS02355,znuC,zinc ABC transporter ATP-binding protein ZnuC
MIDG2331_RS02360,mepM,murein DD-endopeptidase MepM
MIDG2331_RS02365,dsbC,bifunctional protein-disulfide isomerase/oxidoreductase DsbC
MIDG2331_RS02370,recJ,single-stranded-DNA-specific exonuclease RecJ
MIDG2331_RS02375,,OmpA family protein
MIDG2331_RS02380,,pyridoxal phosphatase
MIDG2331_RS02385,narQ,nitrate/nitrite two-component system sensor histidine kinase NarQ
MIDG2331_RS02390,,GNAT family N-acetyltransferase
MIDG2331_RS02395,rdgB,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase
MIDG2331_RS02400,,YbjQ family protein
MIDG2331_RS02405,,formate--tetrahydrofolate ligase
MIDG2331_RS02410,,YcgN family cysteine cluster protein
MIDG2331_RS02415,,SDR family oxidoreductase
MIDG2331_RS02420,trpB,tryptophan synthase subunit beta
MIDG2331_RS02425,trpA,tryptophan synthase subunit alpha
MIDG2331_RS02430,,hypothetical protein
MIDG2331_RS02435,polA,DNA polymerase I
MIDG2331_RS02440,lolA,outer membrane lipoprotein periplasmic chaperone LolA
MIDG2331_RS02445,trpR,trp operon repressor
MIDG2331_RS02450,mtgA,monofunctional biosynthetic peptidoglycan transglycosylase
MIDG2331_RS02455,,carboxymuconolactone decarboxylase family protein
MIDG2331_RS02460,,SLAC1 anion channel family protein
MIDG2331_RS02465,,DUF5368 family protein
MIDG2331_RS02470,,NAD(P)/FAD-dependent oxidoreductase
MIDG2331_RS02475,,YgaP family membrane protein
MIDG2331_RS02480,,ArsR/SmtB family transcription factor
MIDG2331_RS02485,nfsA,oxygen-insensitive NADPH nitroreductase
MIDG2331_RS02490,,ATP-grasp domain-containing protein
MIDG2331_RS02495,,YdcF family protein
MIDG2331_RS02500,,malic enzyme-like NAD(P)-binding protein
MIDG2331_RS02505,rplY,50S ribosomal protein L25
MIDG2331_RS02510,,DUF1007 family protein
MIDG2331_RS02515,,nickel/cobalt transporter
MIDG2331_RS02520,,alanine/glycine:cation symporter family protein
MIDG2331_RS02535,,ABC transporter permease
MIDG2331_RS02540,,HesA/MoeB/ThiF family protein
MIDG2331_RS02550,thiH,2-iminoacetate synthase ThiH
MIDG2331_RS02555,tenA,thiaminase II
MIDG2331_RS02560,,ABC transporter substrate-binding protein
MIDG2331_RS02565,thiD,bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
MIDG2331_RS02570,thiE,thiamine phosphate synthase
MIDG2331_RS02575,lepA,translation elongation factor 4
MIDG2331_RS02580,lepB,signal peptidase I
MIDG2331_RS02585,rnc,ribonuclease III
MIDG2331_RS02590,era,GTPase Era
MIDG2331_RS02595,recO,DNA repair protein RecO
MIDG2331_RS02600,,Flp pilus assembly protein
MIDG2331_RS02605,tadF,tight adherence pilus pseudopilin TadF
MIDG2331_RS02610,,TadE/TadG family type IV pilus assembly protein
MIDG2331_RS02615,,tetratricopeptide repeat protein
MIDG2331_RS02620,,type II secretion system F family protein
MIDG2331_RS02625,,type II secretion system F family protein
MIDG2331_RS02630,,CpaF family protein
MIDG2331_RS02635,,Flp operon protein D
MIDG2331_RS02640,,Rough colony protein B
MIDG2331_RS02645,,type II and III secretion system protein family protein
MIDG2331_RS02650,,SAF domain-containing protein
MIDG2331_RS02655,,A24 family peptidase
MIDG2331_RS02660,,Flp family type IVb pilin
MIDG2331_RS02665,,Flp family type IVb pilin
MIDG2331_RS02670,rhlB,ATP-dependent RNA helicase RhlB
MIDG2331_RS02675,,hypothetical protein
MIDG2331_RS02680,,helicase HerA-like C-terminal domain-containing protein
MIDG2331_RS02685,,ABC transporter substrate-binding protein
MIDG2331_RS02690,,ABC transporter permease
MIDG2331_RS02695,,TonB-dependent siderophore receptor
MIDG2331_RS02705,,ABC transporter ATP-binding protein/permease
MIDG2331_RS02710,rpsB,30S ribosomal protein S2
MIDG2331_RS02715,tsf,translation elongation factor Ts
MIDG2331_RS02720,,phosphoethanolamine transferase
MIDG2331_RS02725,pyrH,UMP kinase
MIDG2331_RS02730,frr,ribosome recycling factor
MIDG2331_RS02735,pdxR,MocR-like pyridoxine biosynthesis transcription factor PdxR
MIDG2331_RS02740,pdxS,pyridoxal 5'-phosphate synthase lyase subunit PdxS
MIDG2331_RS02745,pdxT,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT
MIDG2331_RS02750,tadA,tRNA adenosine(34) deaminase TadA
MIDG2331_RS02755,,DEAD/DEAH box helicase
MIDG2331_RS02760,nlpI,lipoprotein NlpI
MIDG2331_RS02765,pnp,polyribonucleotide nucleotidyltransferase
MIDG2331_RS02770,parC,DNA topoisomerase IV subunit A
MIDG2331_RS02775,mukF,chromosome partition protein MukF
MIDG2331_RS02780,mukE,chromosome partition protein MukE
MIDG2331_RS02785,mukB,chromosome partition protein MukB
MIDG2331_RS02790,,sugar transporter
MIDG2331_RS02795,,DUF3413 domain-containing protein
MIDG2331_RS02800,,YejL family protein
MIDG2331_RS02805,,TetR/AcrR family transcriptional regulator
MIDG2331_RS02810,,efflux RND transporter periplasmic adaptor subunit
MIDG2331_RS02815,,efflux RND transporter permease subunit
MIDG2331_RS02820,glmU,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
MIDG2331_RS02825,,CHY zinc finger protein
MIDG2331_RS02830,,DUF1919 domain-containing protein
MIDG2331_RS02835,,phospho-sugar mutase
MIDG2331_RS02840,guaA,glutamine-hydrolyzing GMP synthase
MIDG2331_RS02845,,hypothetical protein
MIDG2331_RS02850,guaB,IMP dehydrogenase
MIDG2331_RS02855,rlmE,23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE
MIDG2331_RS02860,ftsH,ATP-dependent zinc metalloprotease FtsH
MIDG2331_RS02865,,aromatic amino acid transport family protein
MIDG2331_RS02870,,aromatic amino acid transport family protein
MIDG2331_RS02875,glnD,bifunctional uridylyltransferase/uridylyl-removing protein GlnD
MIDG2331_RS02880,,Z-ring associated ZapG family protein
MIDG2331_RS02885,rplM,50S ribosomal protein L13
MIDG2331_RS02890,rpsI,30S ribosomal protein S9
MIDG2331_RS02895,yaaA,peroxide stress protein YaaA
MIDG2331_RS02900,,hypothetical protein
MIDG2331_RS02905,,cation diffusion facilitator family transporter
MIDG2331_RS02910,,Zn-ribbon-containing protein
MIDG2331_RS02915,,L-cystine transporter
MIDG2331_RS02920,,NAD(P)H-dependent oxidoreductase
MIDG2331_RS02925,pheS,phenylalanine--tRNA ligase subunit alpha
MIDG2331_RS02930,pheT,phenylalanine--tRNA ligase subunit beta
MIDG2331_RS02935,,integration host factor subunit alpha
MIDG2331_RS02940,,NlpC/P60 family protein
MIDG2331_RS02955,bioD,dethiobiotin synthase
MIDG2331_RS02960,,ROK family protein
MIDG2331_RS02965,rnd,ribonuclease D
MIDG2331_RS02970,lrp,leucine-responsive transcriptional regulator Lrp
MIDG2331_RS02975,,DNA translocase FtsK
MIDG2331_RS02980,ypfJ,KPN_02809 family neutral zinc metallopeptidase
MIDG2331_RS02985,aroG,3-deoxy-7-phosphoheptulonate synthase AroG
MIDG2331_RS02990,tsaB,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
MIDG2331_RS02995,,thymidine kinase
MIDG2331_RS03000,zapB,cell division protein ZapB
MIDG2331_RS03005,glpX,class II fructose-bisphosphatase
MIDG2331_RS03010,,Nif3-like dinuclear metal center hexameric protein
MIDG2331_RS03015,,MacB family efflux pump subunit
MIDG2331_RS03020,cpxA,envelope stress sensor histidine kinase CpxA
MIDG2331_RS03025,,response regulator
MIDG2331_RS03030,mazG,nucleoside triphosphate pyrophosphohydrolase
MIDG2331_RS03035,accD,"acetyl-CoA carboxylase, carboxyltransferase subunit beta"
MIDG2331_RS03040,folC,bifunctional tetrahydrofolate synthase/dihydrofolate synthase
MIDG2331_RS03050,rimP,ribosome maturation factor RimP
MIDG2331_RS03055,nusA,transcription termination factor NusA
MIDG2331_RS03060,infB,translation initiation factor IF-2
MIDG2331_RS03065,rbfA,30S ribosome-binding factor RbfA
MIDG2331_RS03070,truB,tRNA pseudouridine(55) synthase TruB
MIDG2331_RS03075,,lytic murein transglycosylase
MIDG2331_RS03080,,YegP family protein
MIDG2331_RS03085,,"IS256 family transposase, variant Zn-binding type"
MIDG2331_RS03090,pta,phosphate acetyltransferase
MIDG2331_RS03095,,acetate kinase
MIDG2331_RS03100,cpdB,"2',3'-cyclic-nucleotide 2'-phosphodiesterase"
MIDG2331_RS03110,,hypothetical protein
MIDG2331_RS03115,,DUF6953 family protein
MIDG2331_RS03120,,YodC family protein
MIDG2331_RS03125,,hypothetical protein
MIDG2331_RS03130,,hypothetical protein
MIDG2331_RS03135,,phage/plasmid replication domain-containing protein
MIDG2331_RS03140,,DNA-binding protein
MIDG2331_RS03145,,hypothetical protein
MIDG2331_RS03150,,hypothetical protein
MIDG2331_RS03155,,type II secretion system protein GspD
MIDG2331_RS03160,,EexN family lipoprotein
MIDG2331_RS03165,,hypothetical protein
MIDG2331_RS03170,,hypothetical protein
MIDG2331_RS03175,,DUF6953 family protein
MIDG2331_RS03180,,YodC family protein
MIDG2331_RS03185,,hypothetical protein
MIDG2331_RS03190,,hypothetical protein
MIDG2331_RS03195,,phage/plasmid replication domain-containing protein
MIDG2331_RS03200,,DNA-binding protein
MIDG2331_RS03205,,hypothetical protein
MIDG2331_RS03210,,hypothetical protein
MIDG2331_RS03215,,type II secretion system protein GspD
MIDG2331_RS03220,,EexN family lipoprotein
MIDG2331_RS03225,,hypothetical protein
MIDG2331_RS03230,,porin
MIDG2331_RS03235,priC,primosomal replication protein PriC
MIDG2331_RS03240,galU,UTP--glucose-1-phosphate uridylyltransferase GalU
MIDG2331_RS03245,,phosphohexomutase domain-containing protein
MIDG2331_RS03250,csrA,carbon storage regulator CsrA
MIDG2331_RS03255,alaS,alanine--tRNA ligase
MIDG2331_RS03260,,universal stress protein
MIDG2331_RS03265,,FNR family transcription factor
MIDG2331_RS03270,,ClpXP protease specificity-enhancing factor
MIDG2331_RS03275,sspA,stringent starvation protein SspA
MIDG2331_RS03280,purE,5-(carboxyamino)imidazole ribonucleotide mutase
MIDG2331_RS03285,,asparaginase
MIDG2331_RS03290,purK,5-(carboxyamino)imidazole ribonucleotide synthase
MIDG2331_RS03295,,amino acid aminotransferase
MIDG2331_RS03300,pepP,Xaa-Pro aminopeptidase
MIDG2331_RS03305,,ATP-binding protein
MIDG2331_RS03310,,type II toxin-antitoxin system VapC family toxin
MIDG2331_RS03315,,antitoxin
MIDG2331_RS03320,uvrB,excinuclease ABC subunit UvrB
MIDG2331_RS03325,efeO,iron uptake system protein EfeO
MIDG2331_RS03330,efeB,iron uptake transporter deferrochelatase/peroxidase subunit
MIDG2331_RS03335,,hypothetical protein
MIDG2331_RS03340,,PHP domain-containing protein
MIDG2331_RS03345,,hypothetical protein
MIDG2331_RS03350,sbcB,exodeoxyribonuclease I
MIDG2331_RS03355,,chloride channel protein
MIDG2331_RS03360,asnS,asparagine--tRNA ligase
MIDG2331_RS03365,epmB,EF-P beta-lysylation protein EpmB
MIDG2331_RS03370,,hypothetical protein
MIDG2331_RS03375,efp,elongation factor P
MIDG2331_RS03380,glnS,glutamine--tRNA ligase
MIDG2331_RS03385,,DHA2 family efflux MFS transporter permease subunit
MIDG2331_RS03390,,transglycosylase SLT domain-containing protein
MIDG2331_RS03395,hpt,hypoxanthine phosphoribosyltransferase
MIDG2331_RS03400,,methionine biosynthesis PLP-dependent protein
MIDG2331_RS03405,dapB,4-hydroxy-tetrahydrodipicolinate reductase
MIDG2331_RS03410,,hypothetical protein
MIDG2331_RS03415,,DUF4747 family protein
MIDG2331_RS03420,rlmM,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM
MIDG2331_RS03425,,DUF423 domain-containing protein
MIDG2331_RS03430,dld,D-lactate dehydrogenase
MIDG2331_RS03435,torA,trimethylamine-N-oxide reductase TorA
MIDG2331_RS03440,,NapC/NirT family cytochrome c
MIDG2331_RS03445,moaA,"GTP 3',8-cyclase MoaA"
MIDG2331_RS03450,moaC,cyclic pyranopterin monophosphate synthase MoaC
MIDG2331_RS03455,moaD,molybdopterin synthase sulfur carrier subunit
MIDG2331_RS03460,moaE,molybdopterin synthase catalytic subunit MoaE
MIDG2331_RS03465,ybeY,rRNA maturation RNase YbeY
MIDG2331_RS03470,,GNAT family N-acetyltransferase
MIDG2331_RS03475,topA,type I DNA topoisomerase
MIDG2331_RS03480,,LysR family transcriptional regulator
MIDG2331_RS03485,argA,amino-acid N-acetyltransferase
MIDG2331_RS03490,aroA,3-phosphoshikimate 1-carboxyvinyltransferase
MIDG2331_RS03495,hisC,histidinol-phosphate transaminase
MIDG2331_RS03500,,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein
MIDG2331_RS03505,serC,3-phosphoserine/phosphohydroxythreonine transaminase
MIDG2331_RS03510,,SNF2-related protein
MIDG2331_RS03515,,DEAD/DEAH box helicase family protein
MIDG2331_RS03520,,site-specific DNA-methyltransferase
MIDG2331_RS03525,,MurR/RpiR family transcriptional regulator
MIDG2331_RS03530,nanQ,N-acetylneuraminate anomerase
MIDG2331_RS03535,ppx,exopolyphosphatase
MIDG2331_RS03540,,DUF496 family protein
MIDG2331_RS03545,lysC,lysine-sensitive aspartokinase 3
MIDG2331_RS03550,nrdR,transcriptional regulator NrdR
MIDG2331_RS03555,,YcgL domain-containing protein
MIDG2331_RS03560,,replicative DNA helicase
MIDG2331_RS03565,,siderophore ABC transporter substrate-binding protein
MIDG2331_RS03570,,ABC transporter permease
MIDG2331_RS03575,,iron chelate uptake ABC transporter family permease subunit
MIDG2331_RS03580,,iron ABC transporter ATP-binding protein
MIDG2331_RS03585,,TIGR00153 family protein
MIDG2331_RS03590,,inorganic phosphate transporter
MIDG2331_RS03595,,TIGR04211 family SH3 domain-containing protein
MIDG2331_RS03600,,sulfurtransferase TusA family protein
MIDG2331_RS03605,,hemerythrin domain-containing protein
MIDG2331_RS03610,tgt,tRNA guanosine(34) transglycosylase Tgt
MIDG2331_RS03615,,DUF1439 domain-containing protein
MIDG2331_RS03620,cspD,cold shock domain-containing protein CspD
MIDG2331_RS03625,can,carbonate dehydratase
MIDG2331_RS03630,,acetolactate synthase 3 large subunit
MIDG2331_RS03635,ilvN,acetolactate synthase small subunit
MIDG2331_RS03640,pmbA,metalloprotease PmbA
MIDG2331_RS03645,yjgA,ribosome biogenesis factor YjgA
MIDG2331_RS03650,,SirB2 family protein
MIDG2331_RS03655,,UbiX family flavin prenyltransferase
MIDG2331_RS03660,,DUF554 domain-containing protein
MIDG2331_RS03665,,PNPOx family protein
MIDG2331_RS03670,yciH,stress response translation initiation inhibitor YciH
MIDG2331_RS03675,pyrF,orotidine-5'-phosphate decarboxylase
MIDG2331_RS03680,lapB,lipopolysaccharide assembly protein LapB
MIDG2331_RS03685,,LapA family protein
MIDG2331_RS03690,,integration host factor subunit beta
MIDG2331_RS03695,rpsA,30S ribosomal protein S1
MIDG2331_RS03700,cmk,(d)CMP kinase
MIDG2331_RS03705,degS,outer membrane-stress sensor serine endopeptidase DegS
MIDG2331_RS03715,secG,preprotein translocase subunit SecG
MIDG2331_RS03720,,DNA topoisomerase III
MIDG2331_RS03725,,alkaline phosphatase
MIDG2331_RS03730,mepA,penicillin-insensitive murein endopeptidase
MIDG2331_RS03735,aroC,chorismate synthase
MIDG2331_RS03740,mscK,mechanosensitive channel MscK
MIDG2331_RS03745,mscK,mechanosensitive channel MscK
MIDG2331_RS03750,menE,o-succinylbenzoate--CoA ligase
MIDG2331_RS03755,seqA,replication initiation negative regulator SeqA
MIDG2331_RS03760,,alpha/beta fold hydrolase
MIDG2331_RS03765,cmoA,carboxy-S-adenosyl-L-methionine synthase CmoA
MIDG2331_RS03770,,enoyl-ACP reductase FabI
MIDG2331_RS03775,,BrnT family toxin
MIDG2331_RS03780,,BrnA antitoxin family protein
MIDG2331_RS03785,,exoribonuclease II
MIDG2331_RS03790,,CidA/LrgA family protein
MIDG2331_RS03795,,LrgB family protein
MIDG2331_RS03800,apaH,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH
MIDG2331_RS03810,,alternative ribosome-rescue factor A
MIDG2331_RS03815,,class I SAM-dependent methyltransferase
MIDG2331_RS03820,,AI-2E family transporter
MIDG2331_RS03825,,gluconeogenesis factor YvcK family protein
MIDG2331_RS03830,queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA
MIDG2331_RS03835,,DNA internalization-related competence protein ComEC/Rec2
MIDG2331_RS03840,sstT,serine/threonine transporter SstT
MIDG2331_RS03845,,diacylglycerol kinase
MIDG2331_RS03850,ushA,bifunctional UDP-sugar hydrolase/5'-nucleotidase UshA
MIDG2331_RS03855,,DUF4298 domain-containing protein
MIDG2331_RS03860,,hypothetical protein
MIDG2331_RS03875,lpdA,dihydrolipoyl dehydrogenase
MIDG2331_RS03880,aceF,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase
MIDG2331_RS03885,aceE,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type"
MIDG2331_RS03890,pyrD,quinone-dependent dihydroorotate dehydrogenase
MIDG2331_RS03895,,ribose-phosphate pyrophosphokinase
MIDG2331_RS03900,ispE,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
MIDG2331_RS03905,lolB,lipoprotein insertase outer membrane protein LolB
MIDG2331_RS03910,msbA,lipid A ABC transporter ATP-binding protein/permease MsbA
MIDG2331_RS03915,,CidB/LrgB family autolysis modulator
MIDG2331_RS03920,,CidA/LrgA family protein
MIDG2331_RS03925,,ATP-dependent DNA helicase
MIDG2331_RS03930,,hypothetical protein
MIDG2331_RS03935,uvrA,excinuclease ABC subunit UvrA
MIDG2331_RS03940,,single-stranded DNA-binding protein
MIDG2331_RS03945,,LysR family transcriptional regulator
MIDG2331_RS03950,,zinc-dependent alcohol dehydrogenase family protein
MIDG2331_RS03955,,Cd(II)/Pb(II)-responsive transcriptional regulator
MIDG2331_RS03960,,cation diffusion facilitator family transporter
MIDG2331_RS03965,,zinc-dependent alcohol dehydrogenase family protein
MIDG2331_RS03970,,AAA family ATPase
MIDG2331_RS03975,,ATP-binding protein
MIDG2331_RS03980,,LysR family transcriptional regulator
MIDG2331_RS03985,,NAD(P)H-dependent flavin oxidoreductase
MIDG2331_RS03990,,MFS transporter
MIDG2331_RS03995,,MmcQ/YjbR family DNA-binding protein
MIDG2331_RS04000,,peptide ABC transporter ATP-binding protein
MIDG2331_RS04005,,ABC transporter permease subunit
MIDG2331_RS04010,,ABC transporter permease
MIDG2331_RS04015,,ABC transporter substrate-binding protein
MIDG2331_RS04020,,sigma 54-interacting transcriptional regulator
MIDG2331_RS04025,lpcA,D-sedoheptulose 7-phosphate isomerase
MIDG2331_RS04030,pckA,phosphoenolpyruvate carboxykinase (ATP)
MIDG2331_RS04035,ftsB,cell division protein FtsB
MIDG2331_RS04040,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
MIDG2331_RS04045,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
MIDG2331_RS04050,,LTA synthase family protein
MIDG2331_RS04055,,MOSC domain-containing protein
MIDG2331_RS04060,xseB,exodeoxyribonuclease VII small subunit
MIDG2331_RS04065,ispA,"(2E,6E)-farnesyl diphosphate synthase"
MIDG2331_RS04070,,DMT family protein
MIDG2331_RS04075,lysS,lysine--tRNA ligase
MIDG2331_RS04080,rng,ribonuclease G
MIDG2331_RS04085,ycaO,30S ribosomal protein S12 methylthiotransferase accessory factor YcaO
MIDG2331_RS04090,cmoB,tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB
MIDG2331_RS04095,,hypothetical protein
MIDG2331_RS04100,mltA,murein transglycosylase A
MIDG2331_RS04110,xseA,exodeoxyribonuclease VII large subunit
MIDG2331_RS04120,uraH,hydroxyisourate hydrolase
MIDG2331_RS04125,purR,HTH-type transcriptional repressor PurR
MIDG2331_RS04130,,DedA family protein
MIDG2331_RS04135,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B
MIDG2331_RS04140,ubiA,4-hydroxybenzoate octaprenyltransferase
MIDG2331_RS04145,,DeoR/GlpR family transcriptional regulator
MIDG2331_RS04150,purB,adenylosuccinate lyase
MIDG2331_RS04155,hflD,high frequency lysogenization protein HflD
MIDG2331_RS04160,cydC,heme ABC transporter ATP-binding protein/permease CydC
MIDG2331_RS04165,cydD,heme ABC transporter permease/ATP-binding protein CydD
MIDG2331_RS04170,tamB,autotransporter assembly complex protein TamB
MIDG2331_RS04175,tamA,autotransporter assembly complex protein TamA
MIDG2331_RS04180,,divergent polysaccharide deacetylase family protein
MIDG2331_RS04185,envC,murein hydrolase activator EnvC
MIDG2331_RS04190,,"2,3-diphosphoglycerate-dependent phosphoglycerate mutase"
MIDG2331_RS04195,,LysE/ArgO family amino acid transporter
MIDG2331_RS04200,udk,uridine kinase
MIDG2331_RS04205,dcd,dCTP deaminase
MIDG2331_RS04210,,TetR/AcrR family transcriptional regulator
MIDG2331_RS04215,,HlyD family secretion protein
MIDG2331_RS04220,rbbA,ribosome-associated ATPase/putative transporter RbbA
MIDG2331_RS04225,,ABC transporter permease
MIDG2331_RS04230,,efflux transporter outer membrane subunit
MIDG2331_RS04235,pntB,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta
MIDG2331_RS04240,pntA,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha
MIDG2331_RS04245,trmJ,tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ
MIDG2331_RS04250,,hypothetical protein
MIDG2331_RS04255,,nucleoid-associated protein
MIDG2331_RS04260,queF,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF
MIDG2331_RS04265,gmhB,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase"
MIDG2331_RS04270,bcp,thioredoxin-dependent thiol peroxidase
MIDG2331_RS04275,,hypothetical protein
MIDG2331_RS04280,hemW,radical SAM family heme chaperone HemW
MIDG2331_RS04285,,ABC transporter substrate-binding protein
MIDG2331_RS04290,,ABC transporter permease
MIDG2331_RS04295,,dipeptide/oligopeptide/nickel ABC transporter permease/ATP-binding protein
MIDG2331_RS04300,,ABC transporter ATP-binding protein
MIDG2331_RS04305,,FAD-binding protein
MIDG2331_RS04310,,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase
MIDG2331_RS04315,metF,methylenetetrahydrofolate reductase
MIDG2331_RS04320,,ABC transporter substrate-binding protein
MIDG2331_RS04325,,serine/threonine transporter
MIDG2331_RS04330,,L-serine ammonia-lyase
MIDG2331_RS04335,mnmC,bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmC2/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC1
MIDG2331_RS04340,trpCF,bifunctional indole-3-glycerol-phosphate synthase TrpC/phosphoribosylanthranilate isomerase TrpF
MIDG2331_RS04345,,Fic family protein
MIDG2331_RS04350,,YqcC family protein
MIDG2331_RS04355,truC,tRNA pseudouridine(65) synthase TruC
MIDG2331_RS04360,,hypothetical protein
MIDG2331_RS04365,,CYTH domain-containing protein
MIDG2331_RS04370,,YcjX family GTP-binding protein
MIDG2331_RS04375,smpB,SsrA-binding protein SmpB
MIDG2331_RS04380,serS,serine--tRNA ligase
MIDG2331_RS04385,,M20 family metallo-hydrolase
MIDG2331_RS04390,dcuC,C4-dicarboxylate transporter DcuC
MIDG2331_RS04395,pepE,dipeptidase PepE
MIDG2331_RS04400,leuS,leucine--tRNA ligase
MIDG2331_RS04405,,LPS-assembly lipoprotein LptE
MIDG2331_RS04410,holA,DNA polymerase III subunit delta
MIDG2331_RS04415,yacG,DNA gyrase inhibitor YacG
MIDG2331_RS04420,coaE,dephospho-CoA kinase
MIDG2331_RS04425,,prepilin peptidase
MIDG2331_RS04430,,type II secretion system F family protein
MIDG2331_RS04435,,GspE/PulE family protein
MIDG2331_RS04440,,prepilin-type N-terminal cleavage/methylation domain-containing protein
MIDG2331_RS04445,radA,DNA repair protein RadA
MIDG2331_RS04450,,YgjV family protein
MIDG2331_RS04455,folA,type 3 dihydrofolate reductase
MIDG2331_RS04460,proB,glutamate 5-kinase
MIDG2331_RS04465,,TSUP family transporter
MIDG2331_RS04470,nth,endonuclease III
MIDG2331_RS04475,,acetyl-CoA C-acyltransferase
MIDG2331_RS04480,,3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein
MIDG2331_RS04485,,YdgA family protein
MIDG2331_RS04490,,AEC family transporter
MIDG2331_RS04495,fdhD,formate dehydrogenase accessory sulfurtransferase FdhD
MIDG2331_RS04505,fdnG,formate dehydrogenase-N subunit alpha
MIDG2331_RS04510,fdxH,formate dehydrogenase subunit beta
MIDG2331_RS04515,,formate dehydrogenase subunit gamma
MIDG2331_RS04520,fdhE,formate dehydrogenase accessory protein FdhE
MIDG2331_RS04535,folD,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
MIDG2331_RS04540,,L-lactate MFS transporter
MIDG2331_RS04545,dapA,4-hydroxy-tetrahydrodipicolinate synthase
MIDG2331_RS04550,,Kdo(2)-lipid IV(A) acyltransferase
MIDG2331_RS04555,hpf,"ribosome hibernation-promoting factor, HPF/YfiA family"
MIDG2331_RS04560,truA,tRNA pseudouridine(38-40) synthase TruA
MIDG2331_RS04565,folE,GTP cyclohydrolase I FolE
MIDG2331_RS04570,,3-deoxy-D-manno-octulosonic acid kinase
MIDG2331_RS04575,,cyclophilin-like fold protein
MIDG2331_RS04580,,sugar O-acetyltransferase
MIDG2331_RS04585,,alpha/beta hydrolase
MIDG2331_RS04590,,LysR family transcriptional regulator
MIDG2331_RS04595,,MetQ/NlpA family ABC transporter substrate-binding protein
MIDG2331_RS04600,,MetQ/NlpA family lipoprotein
MIDG2331_RS04605,,methionine ABC transporter permease
MIDG2331_RS04610,metN,methionine ABC transporter ATP-binding protein MetN
MIDG2331_RS04615,cysS,cysteine--tRNA ligase
MIDG2331_RS04620,,peptidylprolyl isomerase
MIDG2331_RS04625,,multifunctional CCA addition/repair protein
MIDG2331_RS04640,,TonB-dependent receptor
MIDG2331_RS04645,,membrane protein
MIDG2331_RS04650,,surface lipoprotein assembly modifier
MIDG2331_RS04655,iscX,Fe-S cluster assembly protein IscX
MIDG2331_RS04660,fdx,ISC system 2Fe-2S type ferredoxin
MIDG2331_RS04665,hscA,Fe-S protein assembly chaperone HscA
MIDG2331_RS04670,,DUF2625 family protein
MIDG2331_RS04675,,DMT family transporter
MIDG2331_RS04680,hscB,Fe-S protein assembly co-chaperone HscB
MIDG2331_RS04685,iscA,iron-sulfur cluster assembly protein IscA
MIDG2331_RS04690,iscU,Fe-S cluster assembly scaffold IscU
