reference_locus,old_locus_tag,gene,annotation,strand,gene_start,gene_end
MIDG2331_RS02825,MIDG2331_00579,,CHY zinc finger protein,-,636054,636371
MIDG2331_RS02830,MIDG2331_00580,,DUF1919 domain-containing protein,-,636375,636995
MIDG2331_RS02835,MIDG2331_00581,,phospho-sugar mutase,+,637289,638947
MIDG2331_RS02840,MIDG2331_00582,guaA,glutamine-hydrolyzing GMP synthase,-,639029,640600
MIDG2331_RS02845,MIDG2331_00583,,hypothetical protein,-,640615,640929
MIDG2331_RS02850,MIDG2331_00584,guaB,IMP dehydrogenase,-,641019,642482
MIDG2331_RS02855,MIDG2331_00585,rlmE,23S rRNA (uridine(2552)-2'-O)-methyltransferase RlmE,+,642735,643361
MIDG2331_RS02860,MIDG2331_00586,ftsH,ATP-dependent zinc metalloprotease FtsH,+,643465,645387
MIDG2331_RS02865,MIDG2331_00587,,aromatic amino acid transport family protein,+,645625,646839
MIDG2331_RS02870,MIDG2331_00588,,aromatic amino acid transport family protein,+,646936,648153
MIDG2331_RS02875,MIDG2331_00589,glnD,bifunctional uridylyltransferase/uridylyl-removing protein GlnD,+,648260,650812
MIDG2331_RS02880,MIDG2331_00590,,Z-ring associated ZapG family protein,-,650845,651243
MIDG2331_RS02885,MIDG2331_00591,rplM,50S ribosomal protein L13,+,651548,651976
MIDG2331_RS02890,MIDG2331_00592,rpsI,30S ribosomal protein S9,+,651993,652388
MIDG2331_RS02895,MIDG2331_00593,yaaA,peroxide stress protein YaaA,+,652510,653292
MIDG2331_RS02900,MIDG2331_00594,,hypothetical protein,+,653292,653837
MIDG2331_RS02905,MIDG2331_00595,,cation diffusion facilitator family transporter,+,653863,654786
MIDG2331_RS02910,MIDG2331_00596,,Zn-ribbon-containing protein,+,654767,655537
MIDG2331_RS02915,MIDG2331_00597,,L-cystine transporter,+,655636,656961
MIDG2331_RS02920,MIDG2331_00598,,NAD(P)H-dependent oxidoreductase,-,657065,657727
MIDG2331_RS02925,MIDG2331_00599,pheS,phenylalanine--tRNA ligase subunit alpha,+,658006,658992
MIDG2331_RS02930,MIDG2331_00600,pheT,phenylalanine--tRNA ligase subunit beta,+,659090,661477
MIDG2331_RS02935,MIDG2331_00601,,integration host factor subunit alpha,+,661495,661791
MIDG2331_RS02940,MIDG2331_00602,,NlpC/P60 family protein,+,661851,662375
MIDG2331_RS02955,MIDG2331_00605,bioD,dethiobiotin synthase,-,664054,664773
MIDG2331_RS02960,MIDG2331_00606,,ROK family protein,-,664827,666017
MIDG2331_RS02965,MIDG2331_00607,rnd,ribonuclease D,+,666196,667311
MIDG2331_RS02970,MIDG2331_00608,lrp,leucine-responsive transcriptional regulator Lrp,+,667396,667878
MIDG2331_RS02975,MIDG2331_00609,,DNA translocase FtsK,+,667890,670760
MIDG2331_RS02980,MIDG2331_00610,ypfJ,KPN_02809 family neutral zinc metallopeptidase,+,670945,671808
MIDG2331_RS02985,MIDG2331_00611,aroG,3-deoxy-7-phosphoheptulonate synthase AroG,+,671931,673004
MIDG2331_RS02990,MIDG2331_00612,tsaB,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,+,673108,673800
MIDG2331_RS02995,MIDG2331_00613,,thymidine kinase,-,674241,674822
MIDG2331_RS03000,MIDG2331_00614,zapB,cell division protein ZapB,-,674882,675100
MIDG2331_RS03005,MIDG2331_00615,glpX,class II fructose-bisphosphatase,+,675285,676283
MIDG2331_RS03010,MIDG2331_00616,,Nif3-like dinuclear metal center hexameric protein,-,676346,677119
MIDG2331_RS03015,MIDG2331_00617,,MacB family efflux pump subunit,-,677210,679132
MIDG2331_RS03020,MIDG2331_00618,cpxA,envelope stress sensor histidine kinase CpxA,-,679276,680676
MIDG2331_RS03025,MIDG2331_00619,,response regulator,-,680741,681469
MIDG2331_RS03030,MIDG2331_00620,mazG,nucleoside triphosphate pyrophosphohydrolase,-,681563,682342
MIDG2331_RS03035,MIDG2331_00621,accD,"acetyl-CoA carboxylase, carboxyltransferase subunit beta",+,682681,683574
MIDG2331_RS03040,MIDG2331_00622,folC,bifunctional tetrahydrofolate synthase/dihydrofolate synthase,+,683631,684935
MIDG2331_RS03050,MIDG2331_00624,rimP,ribosome maturation factor RimP,+,685319,685780
MIDG2331_RS03055,MIDG2331_00625,nusA,transcription termination factor NusA,+,685797,687278
MIDG2331_RS03060,MIDG2331_00626,infB,translation initiation factor IF-2,+,687300,689825
MIDG2331_RS03065,MIDG2331_00627,rbfA,30S ribosome-binding factor RbfA,+,689997,690380
MIDG2331_RS03070,MIDG2331_00628,truB,tRNA pseudouridine(55) synthase TruB,+,690381,691298
MIDG2331_RS03075,MIDG2331_00629,,lytic murein transglycosylase,+,691344,692432
MIDG2331_RS03080,MIDG2331_00630,,YegP family protein,+,692561,692746
MIDG2331_RS03085,MIDG2331_00631,,"IS256 family transposase, variant Zn-binding type",-,692881,693444
MIDG2331_RS03090,MIDG2331_00632,pta,phosphate acetyltransferase,-,693951,696089
MIDG2331_RS03095,MIDG2331_00633,,acetate kinase,-,696145,697353
MIDG2331_RS03100,MIDG2331_00634,cpdB,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",+,697650,699626
MIDG2331_RS03110,MIDG2331_00636,,hypothetical protein,+,700528,700809
MIDG2331_RS03115,MIDG2331_00637,,DUF6953 family protein,-,700856,701122
MIDG2331_RS03120,MIDG2331_00638,,YodC family protein,-,701109,701327
MIDG2331_RS03125,MIDG2331_00639,,hypothetical protein,-,701421,701885
MIDG2331_RS03130,MIDG2331_00640,,hypothetical protein,-,701882,702067
MIDG2331_RS03135,MIDG2331_00641,,phage/plasmid replication domain-containing protein,+,702220,703374
MIDG2331_RS03140,MIDG2331_00642,,DNA-binding protein,+,703411,703737
MIDG2331_RS03145,,,hypothetical protein,+,703741,703983
MIDG2331_RS03150,MIDG2331_00643,,hypothetical protein,+,704069,704326
MIDG2331_RS03155,MIDG2331_00644,,type II secretion system protein GspD,+,704345,705223
MIDG2331_RS03160,MIDG2331_00645,,EexN family lipoprotein,+,705268,705489
MIDG2331_RS03165,MIDG2331_00646,,hypothetical protein,+,705595,705945
MIDG2331_RS03170,MIDG2331_00647,,hypothetical protein,+,706332,706613
MIDG2331_RS03175,MIDG2331_00648,,DUF6953 family protein,-,706660,706926
MIDG2331_RS03180,MIDG2331_00649,,YodC family protein,-,706913,707131
MIDG2331_RS03185,MIDG2331_00650,,hypothetical protein,-,707225,707689
MIDG2331_RS03190,MIDG2331_00651,,hypothetical protein,-,707686,707871
MIDG2331_RS03195,MIDG2331_00652,,phage/plasmid replication domain-containing protein,+,708024,709178
MIDG2331_RS03200,MIDG2331_00653,,DNA-binding protein,+,709215,709541
MIDG2331_RS03205,,,hypothetical protein,+,709545,709787
MIDG2331_RS03210,MIDG2331_00654,,hypothetical protein,+,709873,710130
MIDG2331_RS03215,MIDG2331_00655,,type II secretion system protein GspD,+,710149,711027
MIDG2331_RS03220,MIDG2331_00656,,EexN family lipoprotein,+,711072,711293
MIDG2331_RS03225,MIDG2331_00657,,hypothetical protein,+,711399,711749
MIDG2331_RS03230,MIDG2331_00658,,porin,-,712179,713264
MIDG2331_RS03235,MIDG2331_00659,priC,primosomal replication protein PriC,+,713734,714255
MIDG2331_RS03240,MIDG2331_00660,galU,UTP--glucose-1-phosphate uridylyltransferase GalU,-,714287,715174
MIDG2331_RS03245,MIDG2331_00661,,phosphohexomutase domain-containing protein,-,715287,716645
MIDG2331_RS03250,MIDG2331_00662,csrA,carbon storage regulator CsrA,-,716679,716873
MIDG2331_RS03255,MIDG2331_00663,alaS,alanine--tRNA ligase,-,716952,719576
MIDG2331_RS03260,MIDG2331_00664,,universal stress protein,-,719802,720227
MIDG2331_RS03265,MIDG2331_00665,,FNR family transcription factor,+,720491,721258
MIDG2331_RS03270,MIDG2331_00666,,ClpXP protease specificity-enhancing factor,-,721357,721773
MIDG2331_RS03275,MIDG2331_00667,sspA,stringent starvation protein SspA,-,721773,722417
MIDG2331_RS03280,MIDG2331_00668,purE,5-(carboxyamino)imidazole ribonucleotide mutase,+,722636,723130
MIDG2331_RS03285,MIDG2331_00669,,asparaginase,+,723140,724105
MIDG2331_RS03290,MIDG2331_00670,purK,5-(carboxyamino)imidazole ribonucleotide synthase,+,724216,725304
MIDG2331_RS03295,MIDG2331_00671,,amino acid aminotransferase,+,725436,726632
MIDG2331_RS03300,MIDG2331_00672,pepP,Xaa-Pro aminopeptidase,-,726812,728098
MIDG2331_RS03305,MIDG2331_00673,,ATP-binding protein,-,728507,729730
MIDG2331_RS03310,MIDG2331_00674,,type II toxin-antitoxin system VapC family toxin,-,729866,730255
MIDG2331_RS03315,MIDG2331_00675,,antitoxin,-,730256,730516
MIDG2331_RS03320,MIDG2331_00676,uvrB,excinuclease ABC subunit UvrB,-,730650,732671
MIDG2331_RS03325,MIDG2331_00677,efeO,iron uptake system protein EfeO,+,732848,733660
MIDG2331_RS03330,MIDG2331_00678,efeB,iron uptake transporter deferrochelatase/peroxidase subunit,+,733672,734865
MIDG2331_RS03335,MIDG2331_00679,,hypothetical protein,+,734876,735496
MIDG2331_RS03340,MIDG2331_00680,,PHP domain-containing protein,-,735536,736354
MIDG2331_RS03345,MIDG2331_00681,,hypothetical protein,-,736358,736948
MIDG2331_RS03350,MIDG2331_00682,sbcB,exodeoxyribonuclease I,-,736965,738509
MIDG2331_RS03355,MIDG2331_00683,,chloride channel protein,-,738751,740157
MIDG2331_RS03360,MIDG2331_00684,asnS,asparagine--tRNA ligase,+,740365,741768
MIDG2331_RS03365,MIDG2331_00685,epmB,EF-P beta-lysylation protein EpmB,-,741870,742871
MIDG2331_RS03370,MIDG2331_00686,,hypothetical protein,-,742958,743524
MIDG2331_RS03375,MIDG2331_00687,efp,elongation factor P,+,743675,744241
MIDG2331_RS03380,MIDG2331_00688,glnS,glutamine--tRNA ligase,+,744396,746066
MIDG2331_RS03385,MIDG2331_00690,,DHA2 family efflux MFS transporter permease subunit,-,746296,747687
MIDG2331_RS03390,MIDG2331_00691,,transglycosylase SLT domain-containing protein,-,747868,749976
MIDG2331_RS03395,MIDG2331_00692,hpt,hypoxanthine phosphoribosyltransferase,-,750085,750624
MIDG2331_RS03400,MIDG2331_00693,,methionine biosynthesis PLP-dependent protein,-,750728,751864
MIDG2331_RS03405,MIDG2331_00694,dapB,4-hydroxy-tetrahydrodipicolinate reductase,-,751978,752787
MIDG2331_RS03410,MIDG2331_00695,,hypothetical protein,-,752846,753424
MIDG2331_RS03415,MIDG2331_00696,,DUF4747 family protein,-,753421,754338
MIDG2331_RS03420,MIDG2331_00697,rlmM,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,-,754363,755448
MIDG2331_RS03425,MIDG2331_00699,,DUF423 domain-containing protein,-,755820,756224
MIDG2331_RS03430,MIDG2331_00700,dld,D-lactate dehydrogenase,+,756328,758019
MIDG2331_RS03435,MIDG2331_00701,torA,trimethylamine-N-oxide reductase TorA,-,758157,760631
MIDG2331_RS03440,MIDG2331_00703,,NapC/NirT family cytochrome c,-,760827,761945
MIDG2331_RS03445,MIDG2331_00705,moaA,"GTP 3',8-cyclase MoaA",+,762297,763319
MIDG2331_RS03450,MIDG2331_00706,moaC,cyclic pyranopterin monophosphate synthase MoaC,+,763604,764080
MIDG2331_RS03455,MIDG2331_00707,moaD,molybdopterin synthase sulfur carrier subunit,+,764102,764347
MIDG2331_RS03460,MIDG2331_00708,moaE,molybdopterin synthase catalytic subunit MoaE,+,764348,764803
MIDG2331_RS03465,MIDG2331_00709,ybeY,rRNA maturation RNase YbeY,+,764884,765375
MIDG2331_RS03470,MIDG2331_00710,,GNAT family N-acetyltransferase,+,765375,767177
MIDG2331_RS03475,MIDG2331_00711,topA,type I DNA topoisomerase,-,767240,769849
MIDG2331_RS03480,MIDG2331_00712,,LysR family transcriptional regulator,+,769991,770887
MIDG2331_RS03485,MIDG2331_00713,argA,amino-acid N-acetyltransferase,-,770979,772292
MIDG2331_RS03490,MIDG2331_00714,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,-,772440,773738
MIDG2331_RS03495,MIDG2331_00715,hisC,histidinol-phosphate transaminase,-,773752,774846
MIDG2331_RS03500,MIDG2331_00716,,O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein,-,775046,776314
MIDG2331_RS03505,MIDG2331_00717,serC,3-phosphoserine/phosphohydroxythreonine transaminase,-,776520,777608
MIDG2331_RS03510,MIDG2331_00718,,SNF2-related protein,-,777802,780675
MIDG2331_RS03515,MIDG2331_00719,,DEAD/DEAH box helicase family protein,-,780672,783989
MIDG2331_RS03520,MIDG2331_00720,,site-specific DNA-methyltransferase,-,784391,787273
MIDG2331_RS03525,MIDG2331_00721,,MurR/RpiR family transcriptional regulator,-,787578,788450
MIDG2331_RS03530,MIDG2331_00722,nanQ,N-acetylneuraminate anomerase,-,788460,788927
MIDG2331_RS03535,MIDG2331_00723,ppx,exopolyphosphatase,-,789128,790636
MIDG2331_RS03540,MIDG2331_00724,,DUF496 family protein,+,790845,791180
MIDG2331_RS03545,MIDG2331_00726,lysC,lysine-sensitive aspartokinase 3,+,791675,793027
MIDG2331_RS03550,MIDG2331_00727,nrdR,transcriptional regulator NrdR,-,793153,793602
MIDG2331_RS03555,MIDG2331_00728,,YcgL domain-containing protein,-,793602,793889
MIDG2331_RS03560,MIDG2331_00729,,replicative DNA helicase,-,793879,795342
MIDG2331_RS03565,MIDG2331_00730,,siderophore ABC transporter substrate-binding protein,+,795522,796430
MIDG2331_RS03570,MIDG2331_00731,,ABC transporter permease,+,796517,797464
MIDG2331_RS03575,MIDG2331_00732,,iron chelate uptake ABC transporter family permease subunit,+,797464,798405
MIDG2331_RS03580,MIDG2331_00733,,iron ABC transporter ATP-binding protein,+,798407,799165
MIDG2331_RS03585,MIDG2331_00734,,TIGR00153 family protein,+,799354,800034
MIDG2331_RS03590,MIDG2331_00735,,inorganic phosphate transporter,+,800044,801306
MIDG2331_RS03595,MIDG2331_00736,,TIGR04211 family SH3 domain-containing protein,+,801371,801976
MIDG2331_RS03600,MIDG2331_00737,,sulfurtransferase TusA family protein,-,802030,802257
MIDG2331_RS03605,MIDG2331_00738,,hemerythrin domain-containing protein,-,802264,802779
MIDG2331_RS03610,MIDG2331_00739,tgt,tRNA guanosine(34) transglycosylase Tgt,-,802852,804000
MIDG2331_RS03615,MIDG2331_00741,,DUF1439 domain-containing protein,+,804323,804895
MIDG2331_RS03620,MIDG2331_00742,cspD,cold shock domain-containing protein CspD,+,805003,805209
MIDG2331_RS03625,MIDG2331_00743,can,carbonate dehydratase,+,805327,806043
MIDG2331_RS03630,MIDG2331_00744,,acetolactate synthase 3 large subunit,+,806361,808085
MIDG2331_RS03635,MIDG2331_00745,ilvN,acetolactate synthase small subunit,+,808078,808569
MIDG2331_RS03640,MIDG2331_00746,pmbA,metalloprotease PmbA,-,808839,810188
MIDG2331_RS03645,MIDG2331_00747,yjgA,ribosome biogenesis factor YjgA,+,810296,810826
MIDG2331_RS03650,MIDG2331_00748,,SirB2 family protein,+,810871,811242
MIDG2331_RS03655,MIDG2331_00749,,UbiX family flavin prenyltransferase,+,811302,811874
MIDG2331_RS03660,MIDG2331_00750,,DUF554 domain-containing protein,+,811877,812590
MIDG2331_RS03665,MIDG2331_00751,,PNPOx family protein,+,812637,813086
MIDG2331_RS03670,MIDG2331_00752,yciH,stress response translation initiation inhibitor YciH,-,813159,813470
MIDG2331_RS03675,MIDG2331_00753,pyrF,orotidine-5'-phosphate decarboxylase,-,813550,814242
MIDG2331_RS03680,MIDG2331_00754,lapB,lipopolysaccharide assembly protein LapB,-,814267,815463
MIDG2331_RS03685,MIDG2331_00755,,LapA family protein,-,815463,815753
MIDG2331_RS03690,MIDG2331_00756,,integration host factor subunit beta,-,815822,816103
MIDG2331_RS03695,MIDG2331_00757,rpsA,30S ribosomal protein S1,-,816177,817841
MIDG2331_RS03700,MIDG2331_00758,cmk,(d)CMP kinase,-,817938,818612
MIDG2331_RS03705,MIDG2331_00759,degS,outer membrane-stress sensor serine endopeptidase DegS,-,818642,819673
MIDG2331_RS03715,MIDG2331_00761,secG,preprotein translocase subunit SecG,-,819922,820248
MIDG2331_RS03720,MIDG2331_00762,,DNA topoisomerase III,-,820380,822296
MIDG2331_RS03725,MIDG2331_00763,,alkaline phosphatase,+,822479,823924
MIDG2331_RS03730,MIDG2331_00764,mepA,penicillin-insensitive murein endopeptidase,-,823974,824804
MIDG2331_RS03735,MIDG2331_00765,aroC,chorismate synthase,-,824899,825981
MIDG2331_RS03740,MIDG2331_00766,mscK,mechanosensitive channel MscK,-,826003,829311
MIDG2331_RS03745,MIDG2331_00767,mscK,mechanosensitive channel MscK,-,829329,832673
MIDG2331_RS03750,MIDG2331_00768,menE,o-succinylbenzoate--CoA ligase,-,832654,834084
MIDG2331_RS03755,MIDG2331_00769,seqA,replication initiation negative regulator SeqA,-,834102,834662
MIDG2331_RS03760,MIDG2331_00770,,alpha/beta fold hydrolase,+,834786,835571
MIDG2331_RS03765,MIDG2331_00771,cmoA,carboxy-S-adenosyl-L-methionine synthase CmoA,+,835579,836304
MIDG2331_RS03770,MIDG2331_00772,,enoyl-ACP reductase FabI,+,836508,837296
MIDG2331_RS03775,MIDG2331_00773,,BrnT family toxin,+,837491,837769
MIDG2331_RS03780,MIDG2331_00774,,BrnA antitoxin family protein,+,837744,838022
MIDG2331_RS03785,MIDG2331_00775,,exoribonuclease II,+,838154,840130
MIDG2331_RS03790,MIDG2331_00776,,CidA/LrgA family protein,+,840205,840576
MIDG2331_RS03795,MIDG2331_00777,,LrgB family protein,+,840573,841259
MIDG2331_RS03800,MIDG2331_00778,apaH,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) ApaH,+,841284,842096
MIDG2331_RS03810,MIDG2331_00780,,alternative ribosome-rescue factor A,-,842285,842527
MIDG2331_RS03815,MIDG2331_00781,,class I SAM-dependent methyltransferase,+,842695,843450
MIDG2331_RS03820,MIDG2331_00782,,AI-2E family transporter,+,843509,844570
MIDG2331_RS03825,MIDG2331_00783,,gluconeogenesis factor YvcK family protein,+,844600,845529
MIDG2331_RS03830,MIDG2331_00784,queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,+,845577,846662
MIDG2331_RS03835,MIDG2331_00785,,DNA internalization-related competence protein ComEC/Rec2,-,846697,848991
MIDG2331_RS03840,MIDG2331_00786,sstT,serine/threonine transporter SstT,-,849091,850305
MIDG2331_RS03845,MIDG2331_00787,,diacylglycerol kinase,+,850554,850916
MIDG2331_RS03850,MIDG2331_00788,ushA,bifunctional UDP-sugar hydrolase/5'-nucleotidase UshA,+,850997,852640
MIDG2331_RS03855,MIDG2331_00789,,DUF4298 domain-containing protein,+,852719,853072
MIDG2331_RS03860,MIDG2331_00790,,hypothetical protein,+,853145,853516
MIDG2331_RS03875,MIDG2331_00793,lpdA,dihydrolipoyl dehydrogenase,-,854225,855649
MIDG2331_RS03880,MIDG2331_00794,aceF,pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase,-,855745,857643
MIDG2331_RS03885,MIDG2331_00795,aceE,"pyruvate dehydrogenase (acetyl-transferring), homodimeric type",-,857703,860357
MIDG2331_RS03890,MIDG2331_00796,pyrD,quinone-dependent dihydroorotate dehydrogenase,-,860712,861719
MIDG2331_RS03895,MIDG2331_00797,,ribose-phosphate pyrophosphokinase,-,861793,862743
MIDG2331_RS03900,MIDG2331_00798,ispE,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,-,862755,863612
MIDG2331_RS03905,MIDG2331_00799,lolB,lipoprotein insertase outer membrane protein LolB,-,863622,864254
MIDG2331_RS03910,MIDG2331_00800,msbA,lipid A ABC transporter ATP-binding protein/permease MsbA,-,864383,866131
MIDG2331_RS03915,MIDG2331_00801,,CidB/LrgB family autolysis modulator,-,866236,866922
MIDG2331_RS03920,MIDG2331_00802,,CidA/LrgA family protein,-,866932,867291
MIDG2331_RS03925,MIDG2331_00803,,ATP-dependent DNA helicase,-,867358,869280
MIDG2331_RS03930,MIDG2331_00804,,hypothetical protein,+,869402,869614
MIDG2331_RS03935,MIDG2331_00805,uvrA,excinuclease ABC subunit UvrA,-,869753,872581
MIDG2331_RS03940,MIDG2331_00806,,single-stranded DNA-binding protein,+,872732,873256
MIDG2331_RS03945,MIDG2331_00807,,LysR family transcriptional regulator,-,873466,874365
MIDG2331_RS03950,MIDG2331_00808,,zinc-dependent alcohol dehydrogenase family protein,+,874477,875466
MIDG2331_RS03955,MIDG2331_00809,,Cd(II)/Pb(II)-responsive transcriptional regulator,-,875550,875948
MIDG2331_RS03960,MIDG2331_00810,,cation diffusion facilitator family transporter,+,876020,876634
MIDG2331_RS03965,MIDG2331_00811,,zinc-dependent alcohol dehydrogenase family protein,+,876821,877810
MIDG2331_RS03970,MIDG2331_00812,,AAA family ATPase,-,877851,879770
MIDG2331_RS03975,MIDG2331_00813,,ATP-binding protein,-,879844,881130
MIDG2331_RS03980,MIDG2331_00814,,LysR family transcriptional regulator,-,881438,882325
MIDG2331_RS03985,MIDG2331_00815,,NAD(P)H-dependent flavin oxidoreductase,+,882430,883404
MIDG2331_RS03990,MIDG2331_00816,,MFS transporter,+,883942,885372
MIDG2331_RS03995,MIDG2331_00817,,MmcQ/YjbR family DNA-binding protein,-,885416,886183
MIDG2331_RS04000,MIDG2331_00818,,peptide ABC transporter ATP-binding protein,-,886267,887304
MIDG2331_RS04005,MIDG2331_00819,,ABC transporter permease subunit,-,887318,888205
MIDG2331_RS04010,MIDG2331_00820,,ABC transporter permease,-,888195,889157
MIDG2331_RS04015,MIDG2331_00821,,ABC transporter substrate-binding protein,-,889157,890854
MIDG2331_RS04020,MIDG2331_00822,,sigma 54-interacting transcriptional regulator,-,890864,892012
MIDG2331_RS04025,MIDG2331_00823,lpcA,D-sedoheptulose 7-phosphate isomerase,+,892217,892801
MIDG2331_RS04030,MIDG2331_00824,pckA,phosphoenolpyruvate carboxykinase (ATP),-,893016,894626
MIDG2331_RS04035,MIDG2331_00825,ftsB,cell division protein FtsB,+,894899,895177
MIDG2331_RS04040,MIDG2331_00826,ispD,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,+,895193,895879
MIDG2331_RS04045,MIDG2331_00827,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",+,895876,896352
MIDG2331_RS04050,MIDG2331_00830,,LTA synthase family protein,-,897021,898997
MIDG2331_RS04055,MIDG2331_00831,,MOSC domain-containing protein,-,899035,899823
MIDG2331_RS04060,MIDG2331_00832,xseB,exodeoxyribonuclease VII small subunit,+,899968,900192
MIDG2331_RS04065,MIDG2331_00833,ispA,"(2E,6E)-farnesyl diphosphate synthase",+,900201,901094
MIDG2331_RS04070,MIDG2331_00834,,DMT family protein,-,901178,901522
MIDG2331_RS04075,MIDG2331_00835,lysS,lysine--tRNA ligase,-,901623,903125
MIDG2331_RS04080,MIDG2331_00836,rng,ribonuclease G,-,903260,904735
MIDG2331_RS04085,MIDG2331_00837,ycaO,30S ribosomal protein S12 methylthiotransferase accessory factor YcaO,+,904965,906728
MIDG2331_RS04090,MIDG2331_00838,cmoB,tRNA 5-methoxyuridine(34)/uridine 5-oxyacetic acid(34) synthase CmoB,+,906943,907905
MIDG2331_RS04095,MIDG2331_00839,,hypothetical protein,+,908051,908386
MIDG2331_RS04100,MIDG2331_00840,mltA,murein transglycosylase A,-,908453,909550
MIDG2331_RS04110,MIDG2331_00842,xseA,exodeoxyribonuclease VII large subunit,+,909866,911419
MIDG2331_RS04120,MIDG2331_00844,uraH,hydroxyisourate hydrolase,-,911795,912208
MIDG2331_RS04125,MIDG2331_00845,purR,HTH-type transcriptional repressor PurR,+,912407,913417
MIDG2331_RS04130,MIDG2331_00846,,DedA family protein,+,913440,914042
MIDG2331_RS04135,MIDG2331_00847,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,-,914142,916574
MIDG2331_RS04140,MIDG2331_00848,ubiA,4-hydroxybenzoate octaprenyltransferase,-,916787,917668
MIDG2331_RS04145,MIDG2331_00849,,DeoR/GlpR family transcriptional regulator,-,917668,918429
MIDG2331_RS04150,MIDG2331_00850,purB,adenylosuccinate lyase,-,918497,919864
MIDG2331_RS04155,MIDG2331_00851,hflD,high frequency lysogenization protein HflD,-,919921,920553
MIDG2331_RS04160,MIDG2331_00852,cydC,heme ABC transporter ATP-binding protein/permease CydC,-,920718,922385
MIDG2331_RS04165,MIDG2331_00853,cydD,heme ABC transporter permease/ATP-binding protein CydD,-,922396,924138
MIDG2331_RS04170,MIDG2331_00854,tamB,autotransporter assembly complex protein TamB,-,924298,928257
MIDG2331_RS04175,MIDG2331_00855,tamA,autotransporter assembly complex protein TamA,-,928318,930144
MIDG2331_RS04180,MIDG2331_00856,,divergent polysaccharide deacetylase family protein,-,930160,931008
MIDG2331_RS04185,MIDG2331_00857,envC,murein hydrolase activator EnvC,-,931008,932216
MIDG2331_RS04190,MIDG2331_00858,,"2,3-diphosphoglycerate-dependent phosphoglycerate mutase",+,932386,933069
MIDG2331_RS04195,MIDG2331_00859,,LysE/ArgO family amino acid transporter,-,933153,933788
MIDG2331_RS04200,MIDG2331_00860,udk,uridine kinase,+,933906,934559
MIDG2331_RS04205,MIDG2331_00861,dcd,dCTP deaminase,+,934568,935152
MIDG2331_RS04210,MIDG2331_00862,,TetR/AcrR family transcriptional regulator,-,935221,935775
MIDG2331_RS04215,MIDG2331_00863,,HlyD family secretion protein,+,935916,936977
MIDG2331_RS04220,MIDG2331_00864,rbbA,ribosome-associated ATPase/putative transporter RbbA,+,936981,939722
MIDG2331_RS04225,MIDG2331_00865,,ABC transporter permease,+,939724,940848
MIDG2331_RS04230,MIDG2331_00866,,efflux transporter outer membrane subunit,+,940865,942259
MIDG2331_RS04235,MIDG2331_00867,pntB,Re/Si-specific NAD(P)(+) transhydrogenase subunit beta,-,942337,943785
MIDG2331_RS04240,MIDG2331_00868,pntA,Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha,-,943796,945334
MIDG2331_RS04245,MIDG2331_00869,trmJ,tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ,+,945539,946267
MIDG2331_RS04250,MIDG2331_00870,,hypothetical protein,-,946360,947523
MIDG2331_RS04255,MIDG2331_00871,,nucleoid-associated protein,-,947520,948611
MIDG2331_RS04260,MIDG2331_00872,queF,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,-,948824,949663
MIDG2331_RS04265,MIDG2331_00873,gmhB,"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase",-,949753,950301
MIDG2331_RS04270,MIDG2331_00874,bcp,thioredoxin-dependent thiol peroxidase,-,950301,950771
MIDG2331_RS04275,MIDG2331_00875,,hypothetical protein,-,950836,951045
MIDG2331_RS04280,MIDG2331_00876,hemW,radical SAM family heme chaperone HemW,-,951158,952315
MIDG2331_RS04285,MIDG2331_00877,,ABC transporter substrate-binding protein,+,952578,954152
MIDG2331_RS04290,MIDG2331_00878,,ABC transporter permease,+,954251,955204
MIDG2331_RS04295,MIDG2331_00879,,dipeptide/oligopeptide/nickel ABC transporter permease/ATP-binding protein,+,955204,957177
MIDG2331_RS04300,MIDG2331_00880,,ABC transporter ATP-binding protein,+,957181,957987
MIDG2331_RS04305,MIDG2331_00881,,FAD-binding protein,+,958039,959637
MIDG2331_RS04310,MIDG2331_00882,,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,-,959699,960856
MIDG2331_RS04315,MIDG2331_00883,metF,methylenetetrahydrofolate reductase,+,961077,961958
MIDG2331_RS04320,MIDG2331_00884,,ABC transporter substrate-binding protein,-,962054,963649
